Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_8x6.2,1,100u,C178539
"C10, C18, C30, C31, C34, C35, C36, C39, C7, C8",0402,10,100n,C1525
"C11, C44",0402,2,220n,C16772
C12,0603,1,4u7,C19666
"C13, C50, C51, C52, C53, C54, C57, C58, C59, C60, C61, C62, C63, C64, C65",0805,15,22u,C45783
"C14, C16, C19, C2, C21, C24, C26, C4, C66, C68",0402,10,100n,C307331
"C15, C20, C25, C3, C6, C67, C9",0402,7,2u2,C12530
"C17, C22, C27, C5, C69",0402,5,22n,C1532
C23,0603,1,100n,C14663
C28,0603,1,10u,C96446
"C32, C33",0402,2,12p,C1547
"C37, C38, C46, C47, C48, C49",0402,6,1u,C52923
"C40, C41, C42, C43",1206,4,47u,C96123
C45,0805,1,2u2,C377773
C55,0402,1,10u,C15525
"D1, D12, D14, D27, D3, D6, D9",0603,7,GLED,C72043
"D10, D13, D28, D4, D7",0603,5,RLED,C2286
"D11, D2, D26, D5, D8",0603,5,WLED,C2290
F1,1206,1,Fuse,C2838917
FB1,0805,1,FerriteBead,C1017
"J2, J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04_MountingPin,C160404
L1,L_0660A,1,1u,C18199443
Q1,SOT-23,1,AO3400A,C20917
Q3,DMP2002UPS,1,DMP2002UPS,C154869
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R27, R3, R4, R5, R50, R59, R6, R60, R61, R62, R63, R9",0402,28,1k,C11702
R24,0402,1,33k,C25779
"R25, R26, R28, R29, R31, R33, R34, R35, R37, R39, R40, R41, R43, R49, R51, R52, R54, R55, R66, R7, R8",0402,21,7k5,C25918
"R53, R57",0402,2,56k,C25796
R56,0402,1,47k,C25792
R58,0402,1,100k,C25741
"SW1, SW2",TS-1088,2,SW_Push,C720477
"U1, U30, U4, U5, U6",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,5,DRV8874PWPR,C1855818
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
U7,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,C529356
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U9,TPS548B28RWWR,1,TPS548B28RWWR,C3188716
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
