epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62403,0.70651,3.71754,0.99922,0.00399,0.61548,0.04409,0.02615,0.58543,3.50993,0.94233,0.0002,0.0002,0.0002
2,11.2085,0.60502,3.71149,0.94844,0.00429,0.65714,0.05756,0.03691,0.48434,3.47711,0.91924,0.000499984,0.000499984,0.000499984
3,16.8646,0.61432,3.49701,0.9548,0.00459,0.69881,0.10148,0.07609,0.42329,3.44849,0.90228,0.000799947,0.000799947,0.000799947
4,22.1051,0.63108,3.55089,0.98978,0.00514,0.7881,0.1724,0.1499,0.47095,3.42675,0.9275,0.00109989,0.00109989,0.00109989
5,27.1586,0.55508,3.48892,0.91688,0.00492,0.74881,0.16782,0.14527,0.45083,3.40929,0.89888,0.00139982,0.00139982,0.00139982
6,32.1116,0.53779,3.28165,0.92975,0.00577,0.87143,0.17461,0.15685,0.4217,3.38585,0.88139,0.00169972,0.00169972,0.00169972
7,37.1036,0.46582,3.02891,0.86248,0.0061,0.90476,0.18116,0.15864,0.48616,3.34081,0.88357,0.0019996,0.0019996,0.0019996
8,42.1026,0.53768,2.95975,0.91438,0.00609,0.90476,0.20288,0.17887,0.48125,3.31784,0.89659,0.00229947,0.00229947,0.00229947
9,47.1339,0.49675,2.97174,0.88778,0.00586,0.85714,0.23038,0.1991,0.51685,3.28178,0.90122,0.00259931,0.00259931,0.00259931
10,52.0736,0.55129,2.89049,0.89943,0.00625,0.90476,0.26371,0.222,0.51256,3.26979,0.91232,0.00289914,0.00289914,0.00289914
11,57.1368,0.60024,2.70313,0.90956,0.00624,0.90476,0.27335,0.22957,0.51026,3.22812,0.90979,0.00319894,0.00319894,0.00319894
12,62.0848,0.54257,2.40937,0.92996,0.0062,0.90476,0.27547,0.23809,0.50237,3.22817,0.89994,0.00349873,0.00349873,0.00349873
13,67.1179,0.57088,2.47201,0.88829,0.00585,0.8631,0.29163,0.2416,0.52179,3.20327,0.90053,0.0037985,0.0037985,0.0037985
14,72.1071,0.50018,2.44618,0.90682,0.00566,0.81548,0.27224,0.2484,0.53781,3.21061,0.91968,0.00409824,0.00409824,0.00409824
15,77.1164,0.66283,2.38129,0.93755,0.00564,0.81548,0.2711,0.24577,0.59107,3.15701,0.95151,0.00439797,0.00439797,0.00439797
16,82.0731,0.61611,2.43673,0.92134,0.00557,0.81548,0.26961,0.24257,0.56385,3.14833,0.92933,0.00469767,0.00469767,0.00469767
17,86.988,0.65317,2.48832,0.95988,0.00566,0.82143,0.29973,0.25501,0.56589,3.25302,0.93563,0.00499736,0.00499736,0.00499736
18,91.8227,0.58344,2.33894,0.93138,0.00565,0.81548,0.35518,0.29776,0.6183,3.12241,0.9618,0.00529703,0.00529703,0.00529703
19,96.582,0.56757,2.04553,0.92607,0.00589,0.85714,0.41272,0.37015,0.61519,2.96214,0.95005,0.00559667,0.00559667,0.00559667
